"","marks.unit","marks.id","marks.suffix","marks.prism","marks.z.x","marks.type.x","marks.geo.x","marks.spit","marks.exc","marks.plunge","marks.bearing","marks.length.x","marks.max_width","marks.thickness","marks.collected.x","marks.comment","marks.date.x","marks.time","marks.year","marks.date.y","marks.z.y","marks.type.y","marks.geo.y","marks.collected.y","marks.integrity","marks.articulation","marks.nsp.bone","marks.nsp.tooth","marks.nsp.total","marks.skeletal.element","marks.skeletal.part","marks.bone.portion","marks.voorhies.group","marks.BM.category","marks.bone.shape..cube.tube.flat.","marks.bone.structure..dense.trabecular.","marks.description","marks.class","marks.order","marks.family","marks.genus","marks.species","marks.taxon","marks.stratified.surface","marks.length.y","marks.carnivore_gnawing","marks.refit","marks.remarks","marks.reference_id.if_from_plaster_jacket.","marks.totalstation_comment","mx","my"
"22","C16","15","0",0,-3.82,"Bone","4",NA,"Prof.GK",8,145,90,8,NA,"yes","bird bone",2016-05-31,"10:55:34 AM","2016","5/31/2016",-3.82,"Bone","4","yes","complete","isolated","1",NA,"1","ulna",NA,NA,NA,NA,NA,NA,"ulna","Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone",-16.926,2.635
"23","C16","16","0",0,-3.835,"Bone","4",NA,"Prof.GK",15,285,220,20,NA,"yes","metatarsal bovidae",2016-05-31,"11:10:19 AM","2016","5/31/2016",-3.835,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metatarsal","Mammalia","Artiodactyla","Bovidae",NA,"?ambiguus","Bovidae ?ambiguus","stratified",NA,NA,NA,NA,NA,"metatarsal bovidae",-16.991,2.681
"24","C16","17","0",0,-3.795,"Bone","4",NA,"Prof.GK",20,180,330,140,NA,"no","not collected",2016-05-31,"11:41:58 AM","2016","5/31/2016",-3.795,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",330,NA,NA,NA,NA,"not collected",-16.706,2.523
"25","C16","18","0",0,-3.757,"Bone","4",NA,"Prof.GK",10,145,160,30,NA,"no","not collected",2016-05-31,"11:44:20 AM","2016","5/31/2016",-3.757,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected",-16.67,2.694
"26","C16","19","0",0.01,-3.528,"Bone","4",NA,"DK",10,100,160,70,NA,"no","not collected, scapula frag",2016-05-31,"1:21:02 PM","2016","5/31/2016",-3.528,"Bone","4","no","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected, scapula frag",-16.365,2.844
"27","C16","20","0",0,-3.908,"Bone","4",NA,"Prof.GK",0,146,170,100,NA,"no","not collected, scapula frag.",2016-05-31,"2:59:45 PM","2016","5/31/2016",-3.908,"Bone","4","no","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",170,NA,NA,NA,NA,"not collected, scapula frag.",-16.908,2.535
"28","C16","21","0",0,-3.89,"Bone","4",NA,"Prof.GK",8,180,NA,NA,NA,"yes","calcaneus artiodactile",2016-05-31,"3:04:15 PM","2016","5/31/2016",-3.89,"Bone","4","yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"calcaneus sin","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"calcaneus artiodactile",-16.908,2.62
"29","C16","22","0",0.1,-3.786,"Bone","4",NA,"Prof.GK",0,26,NA,NA,NA,"yes","tibia, equus",2016-06-01,"11:54:43 AM","2016","6/1/2016",-3.786,"Bone","4","yes","complete","isolated","1",NA,"1","tibia","appendicular",NA,"II","BM4",NA,NA,"tibia dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"tibia, equus",-16.736,2.895
"31","C16","24","0",0,-4.261,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","carpal/tarsal",2016-06-02,"9:52:52 AM","2016","6/2/2016",-4.261,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal/tarsal",-16.987,2.372
"35","C17","4","0",0.02,-3.633,"Bone","4","2","GK",6,264,100,NA,NA,"no","not collected",2015-06-19,"11:20:07 AM","2015","6/19/2015",-3.633,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected",-17.349,2.896
"36","C17","7","0",0,-3.771,"Bone","4","3","GK",10,210,230,NA,NA,"yes","radius",2015-06-19,"1:11:56 PM","2015","6/19/2015",-3.771,"Bone","4","yes","fragment","isolated","1",NA,"1","radius","appendicular","proximal",NA,NA,NA,NA,"radius sin, proximal frag.","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","sp.","Stephanorhinus sp.","stratified",NA,NA,NA,NA,NA,"radius",-17.904,2.777
"37","C17","9","0",0.15,-3.908,"Bone","4","4","GK",NA,NA,NA,NA,NA,"yes",NA,2015-06-22,"11:57:50 AM","2015","6/22/2015",-3.908,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA,-17.163,2.791
"38","C17","11","0",0.04,-3.935,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes",NA,2015-06-22,"12:18:25 PM","2015","6/22/2015",-3.935,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA,-17.265,2.648
"39","C17","12","0",0.07,-3.943,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","second phalanx",2015-06-22,"12:39:43 PM","2015","6/22/2015",-3.943,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"second phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"second phalanx",-17.305,2.698
"40","C17","13","0",0.0099999998,-3.932,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","third phalanx, equus",2015-06-22,"12:54:46 PM","2015","6/22/2015",-3.932,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"third phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"third phalanx, equus",-17.25,2.613
"41","C17","14","0",0.0099999998,-3.959,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","second phalanx",2015-06-22,"12:55:30 PM","2015","6/22/2015",-3.959,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,NA,NA,NA,NA,"second phalanx (juvenile)","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"second phalanx",-17.339,2.527
"42","C17","15","0",0.01,-3.961,"Bone","4","5","GK",10,216,NA,NA,NA,"yes","bird bone",2015-06-22,"1:32:32 PM","2015","6/22/2015",-3.961,"Bone","4","yes","complete","isolated","1",NA,"1","tibiotarsus",NA,NA,NA,NA,NA,NA,"tibiotarsus","Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone",-17.3,2.553
"43","C17","16","0",0.01,-3.905,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"1:51:03 PM","2015","6/22/2015",-3.905,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal or tarsal",-17.159,2.635
"44","C17","17","0",0.16,-3.99,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","third phalanx, carnivore",2015-06-22,"2:32:21 PM","2015","6/22/2015",-3.99,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"third phalanx, carnivore",-17.445,2.827
"45","C17","18","0",0.15,-3.982,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"2:33:25 PM","2015","6/22/2015",-3.982,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal or tarsal",-17.433,2.803
"46","C17","19","0",0.12,-3.951,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"2:34:31 PM","2015","6/22/2015",-3.951,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"intermedium (lunatum)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal or tarsal",-17.404,2.826
"47","C17","20","0",0,-3.939,"Bone","4","5","GK",28,258,NA,NA,NA,"yes","scapula fragment with gnawing marks",2015-06-23,"10:19:53 AM","2015","6/23/2015",-3.939,"Bone","4","yes","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,"yes",NA,NA,NA,"scapula fragment with gnawing marks",-17.165,2.606
"48","C17","21","0",0.09,-4.082,"Bone","4","5","GK",8,243,NA,NA,NA,"yes","rib",2015-06-23,"11:09:47 AM","2015","6/23/2015",-4.082,"Bone","4","yes","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"rib",-17.648,2.495
"49","C17","22","0",0.14,-4.094,"Bone","4","5","GK",8,252,NA,NA,NA,"yes","metapodium, carnivore",2015-06-23,"11:10:49 AM","2015","6/23/2015",-4.094,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metapode","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"metapodium, carnivore",-17.795,2.55
"50","C17","23","0",0.1400000006,-4.069,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal",2015-06-23,"11:11:46 AM","2015","6/23/2015",-4.069,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal",-17.876,2.61
"51","C17","24","0",0.12,-4.121,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal",2015-06-23,"11:42:15 AM","2015","6/23/2015",-4.121,"Bone","4","yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"cuboscaphoid dex","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae","stratified",NA,NA,NA,NA,NA,"carpal",-17.727,2.417
"52","C17","25","0",0.03,-4.074,"Bone","4","5","GK",40,284,NA,NA,NA,"yes","first phalanx, equus",2015-06-23,"12:00:33 PM","2015","6/23/2015",-4.074,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"first phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"first phalanx, equus",-17.497,2.718
"54","C17","28","0",0.01,-4.051,"Bone","4","6","DK",NA,NA,NA,NA,NA,"yes","carpal, cervid",2015-06-24,"12:27:47 PM","2015","6/24/2015",-4.051,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal, cervid",-17.862,2.907
"56","C17","30","0",0.06,-4.149,"Bone","4","6","AG",NA,NA,NA,NA,NA,"yes","carpal, equus",2015-06-26,"3:03:16 PM","2015","6/26/2015",-4.149,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal, equus",-17.87,2.745
"57","C17","31","0",0.12,-4.169,"Bone","4","6","AG",NA,NA,NA,NA,NA,"yes","vertebra",2015-06-26,"3:21:32 PM","2015","6/26/2015",-4.169,"Bone","4","yes","complete","isolated","1",NA,"1","vertebra","axial",NA,"I",NA,NA,NA,"caudal vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"vertebra",-17.856,2.786
"58","C17","32","0",0.01,-4.109,"Bone","4","6","GK",NA,NA,NA,NA,NA,"yes","rib",2015-06-29,"10:12:23 AM","2015","6/29/2015",-4.109,"Bone","4","yes","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"rib",-17.93,2.994
"59","C17","33","0",0.1,-4.172,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","ankle equus",2016-05-30,"11:48:04 AM","2016","5/30/2016",-4.172,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II",NA,NA,NA,"sesamoid","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"ankle equus",-17.845,2.743
"60","C17","34","0",0,-4.142,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","bird bone",2016-05-30,"12:41:32 PM","2016","5/30/2016",-4.142,"Bone","4","yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,"Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone",-17.607,2.859
"61","C17","35","0",0.02,-4.102,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","distal metapodial frag",2016-05-30,"12:45:37 PM","2016","5/30/2016",-4.102,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metopode, distal frag. (juvenile)","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"distal metapodial frag",-17.597,2.929
"62","C17","36","0",0,-4.161,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","third falang equus",2016-05-30,"12:46:51 PM","2016","5/30/2016",-4.161,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"third phalanx","Mammalia","Perissodactyla","Equidae","Equus",NA,"Equus","stratified",NA,NA,NA,NA,NA,"third falang equus",-17.671,2.88
"63","C17","37","0",0.1,-4.215,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","carpal bone",2016-05-30,"3:03:01 PM","2016","5/30/2016",-4.215,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"carpal","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal bone",-17.794,2.853
"64","C17","38","0",0.05,-3.872,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","second phalng bovidae",2016-05-30,"3:17:16 PM","2016","5/30/2016",-3.872,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,NA,NA,NA,NA,"second phalanx (juvenile)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"second phalng bovidae",-17.036,2.617
"66","C17","40","0",0.02,-3.877,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","bird bone",2016-05-30,"3:30:15 PM","2016","5/30/2016",-3.877,"Bone","4","yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,"Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone",-17.073,2.625
"67","C17","41","0",0.05,-3.823,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","third phalanx, bovidae",2016-05-31,"10:32:53 AM","2016","5/31/2016",-3.823,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalanx, bovidae",-17.055,2.734
"69","C17","44","0",0.15,-4.227,"Bone","4",NA,"DK",NA,NA,NA,NA,NA,"yes","first phalanx, carivore",2016-06-01,"2:49:44 PM","2016","6/1/2016",-4.227,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"first phalanx, carivore",-17.697,2.556
"70","C17","45","0",0.05,-4.223,"Bone","4",NA,"DK",NA,NA,NA,NA,NA,"yes","distal tibia, artiodactile",2016-06-01,"2:56:19 PM","2016","6/1/2016",-4.223,"Bone","4","yes","fragment","isolated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia, distal frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"distal tibia, artiodactile",-17.464,2.534
