"","year","date","unit","id","suffix","z","type","geo","collected","integrity","articulation","nsp bone","nsp tooth","nsp total","skeletal element","skeletal part","bone portion","voorhies group","BM category","bone shape (cube,tube,flat)","bone structure (dense,trabecular)","description","class","order","family","genus","species","taxon","stratified.surface","length","carnivore_gnawing","refit","remarks","reference_id.if_from_plaster_jacket.","totalstation_comment"
"20","2014","5/21/2014",NA,"TSR-20",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"insicor","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"21","2014","5/21/2014",NA,"TSR-21",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","tibia","appendicular","proximal",NA,NA,NA,NA,"tibia, proximal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"22","2014","5/21/2014",NA,"TSR-22",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"lateral metapode, proximal part","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"23","2014","5/21/2014",NA,"TSR-23",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"24","2014","5/21/2014",NA,"TSR-24",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"25","2014","5/21/2014",NA,"TSR-25",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","carapace",NA,"fragment",NA,NA,NA,NA,"carapax frag.","Reptilia","Chelonii",NA,NA,NA,"Chelonii","surface",NA,NA,NA,NA,NA,NA
"26","2014","5/21/2014",NA,"TSR-26",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper premolar","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"27","2014","5/21/2014",NA,"TSR-27",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"28","2014","5/21/2014",NA,"TSR-28",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"29","2014","5/21/2014",NA,"TSR-29",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","?metapode",NA,"proximal",NA,NA,NA,NA,"?metapode proximal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"30","2014","5/21/2014",NA,"TSR-30",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","?scapula",NA,"fragment",NA,NA,NA,NA,"?scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"31","2014","5/21/2014",NA,"TSR-31",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","?metapode",NA,"fragment",NA,NA,NA,NA,"?lateral metapode frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"32","2014","5/21/2014",NA,"TSR-32",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"33","2014","5/21/2014",NA,"TSR-33",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"34","2014","5/21/2014",NA,"TSR-34",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"metatarsal","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"35","2014","5/21/2014",NA,"TSR-35",NA,NA,"Bone",NA,"yes","complete","articulated","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"first and second phalanx, tarsal","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"36","2014","5/21/2014",NA,"TSR-36",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metacarpal dex, proximal frag. (section)","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","sp.","Stephanorhinus sp.","stratified",NA,NA,NA,NA,NA,NA
"37","2014","5/21/2014",NA,"TSR-37",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"38","2014","5/21/2014",NA,"TSR-38",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"insicor","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"39","2014","5/21/2014",NA,"TSR-39",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"40","2014","5/27/2014",NA,"TSR-40",NA,NA,"Bone",NA,"yes","fragment","articulated","1",NA,"1","tibia","limb","proximal",NA,NA,NA,NA,"tibia, proximal frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"41","2014","5/27/2014",NA,"TSR-40",NA,NA,"Bone",NA,"yes","complete","articulated","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"astragalus and tarsals","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"42","2014","5/27/2014",NA,"TSR-41",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"lateral metapode","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"43","2014","5/27/2014",NA,"TSR-42",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metapode, proximal frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"44","2014","5/27/2014",NA,"TSR-43",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"molar","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"45","2014","5/27/2014",NA,"TSR-44",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"astragalus","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"46","2014","5/27/2014",NA,"TSR-45",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","femur",NA,NA,NA,NA,NA,NA,"femur sin","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
"47","2014","5/27/2014",NA,"TSR-46",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"M1 dex","Mammalia","Carnivora","Canidae","Canis","etruscus","Canis etruscus","stratified",NA,NA,NA,NA,NA,NA
"48","2014","5/27/2014",NA,"TSR-47",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"lower molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"49","2014","5/27/2014",NA,"TSR-48a",NA,NA,"Bone",NA,"yes","fragment","isolated","2",NA,"2","ulna",NA,"proximal",NA,NA,NA,NA,"ulna prox. sin and fibula frags.","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
"50","2014","5/27/2014",NA,"TSR-48b",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","phalanx","appendicular","proximal",NA,NA,NA,NA,"phalanx proximal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"51","2014","5/27/2014",NA,"TSR-49",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"52","2014","5/27/2014",NA,"TSR-50",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia sin, distal frag. (section)","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","sp.","Stephanorhinus sp.","stratified",NA,NA,NA,NA,NA,NA
"53","2014","5/27/2014",NA,"TSR-51",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","rib","appendicular","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"54","2014","5/27/2014",NA,"TSR-52",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","tibia","appendicular","distal",NA,NA,NA,NA,"tibia dex, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"55","2014","5/27/2014",NA,"TSR-53",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","limb bone","appendicular","shaft",NA,NA,NA,NA,"diaphysis","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"56","2014","5/27/2014",NA,"TSR-54",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","?phalanx",NA,"fragment",NA,NA,NA,NA,"phalanx ?","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"57","2014","5/27/2014",NA,"TSR-55",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"cuboscaphoid","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"58","2014","5/27/2014",NA,"TSR-56",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"59","2014","5/27/2014",NA,"TSR-57",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"60","2014","5/27/2014",NA,"TSR-58",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"61","2014","5/27/2014",NA,"TSR-59",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"62","2014","5/27/2014",NA,"TSR-60",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"vertebra frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"63","2014","5/27/2014",NA,"TSR-61",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"part of vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"64","2014","5/28/2014",NA,"TSR-62",NA,NA,"Bone",NA,"yes","complete","articulated","12",NA,"12",NA,NA,NA,NA,NA,NA,NA,"carpals, metacarpal, lateral metacarpals, third phalanx and sesamoids","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"65","2014","5/28/2014",NA,"TSR-63",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"66","2014","5/28/2014",NA,"TSR-64",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II","BM4",NA,NA,"astragalus dex","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"67","2014","5/28/2014",NA,"TSR-65",NA,NA,"Bone",NA,"yes","complete","articulated","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,"tarsals, metatarsal and lateral metatarsal","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"68","2014","5/28/2014",NA,"TSR-66",NA,NA,"Bone",NA,"yes","complete","articulated","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,"first, second and third phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","stratified",NA,NA,NA,NA,NA,NA
"69","2014","5/28/2014",NA,"TSR-67",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"70","2014","5/28/2014",NA,"TSR-68",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"upper molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"71","2014","5/28/2014",NA,"TSR-69",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","phalanx","appendicular","fragment",NA,NA,NA,NA,"third phalanx frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"72","2014","5/28/2014",NA,"TSR-70",NA,NA,"Tooth",NA,"yes","complete","articulated",NA,"2","2","teeth",NA,NA,NA,NA,NA,NA,"two insicors","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"73","2014","5/28/2014",NA,"TSR-71",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"upper molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"74","2014",NA,NA,"TSR-72",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"75","2014","5/28/2014",NA,"TSR-73",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"76","2014","5/28/2014",NA,"TSR-74",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper molar","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"77","2014","5/28/2014",NA,"TSR-75",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"78","2014","5/28/2014",NA,"TSR-76",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"second phalanx","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,NA
"79","2014","5/28/2014",NA,"TSR-77",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"second phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"80","2014","5/28/2014",NA,"TSR-78",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"second phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"81","2014","5/28/2014",NA,"TSR-79",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"82","2014","5/28/2014",NA,"TSR-80",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"83","2014","5/28/2014",NA,"TSR-81",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"84","2014","5/28/2014",NA,"TSR-82",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"85","2014","5/28/2014",NA,"TSR-83",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"cuboscaphoid","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA
"86","2014","5/28/2014",NA,"TSR-84",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,"possible",NA,NA,NA,NA
"87","2014","5/28/2014",NA,"TSR-85",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"88","2014","5/28/2014",NA,"TSR-86",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,"possible",NA,NA,NA,NA
"89","2014","5/28/2014",NA,"TSR-87",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metacarpal","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,NA
"90","2014","5/28/2014",NA,"TSR-88",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"91","2014","5/28/2014",NA,"TSR-89",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx",NA,NA,NA,NA,NA,NA,"phalanx digiti majoris I","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
"92","2014","5/28/2014",NA,"TSR-90",NA,NA,"Bone",NA,"yes","fragment","?articulated","2",NA,"2","coracoid prox., scapula prox.",NA,"coracoid prox., scapula prox.",NA,NA,NA,NA,"coracoid prox., scapula prox.","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
"93","2014","5/28/2014",NA,"TSR-91",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","tarsometatarsus",NA,"distal",NA,NA,NA,NA,"tarsometatarsal distal dex","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
"94","2014","5/28/2014",NA,"TSR-92",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","femur",NA,"proximal",NA,NA,NA,NA,"femur prox. dex","Aves","Passeriformes","Corvidae","Corvus",NA,"Corvus","stratified",NA,NA,NA,NA,NA,NA
