"","unit","id","suffix","prism","x","y","z","type","geo","spit","exc","plunge","bearing","length","max_width","thickness","collected","comment","date","time"
"82","D13",12,0,0.16,3.917,13.921,-3.466,"Bone","4","2","EM","16 W","120","NA","NA","NA","yes","astragalus","6/25/2015","12:56:25 PM"
"83","D13",13,0,0.27,3.957,13.836,-3.467,"Bone","4","2","EM","0","110","190","NA","NA","no","not collected, long bone fragment","6/25/2015","12:57:26 PM"
"84","D13",14,0,0.09,3.803,13.77,-3.423,"Bone","4","2","EM","0","30","1100","NA","NA","yes","long bone","6/26/2015","10:01:14 AM"
"85","D13",15,0,0.14,3.744,13.725,-3.485,"Bone","4","2","EM","8 E","82","NA","NA","NA","yes","metapodium, equus","6/26/2015","10:03:02 AM"
"86","D13",16,0,0.12,3.598,13.786,-3.457,"Tooth","4","2","EM",NA,"NA","NA","NA","NA","yes","molar, proboscidae","6/26/2015","10:04:40 AM"
"87","D13",17,0,0.14,3.658,13.705,-3.497,"Bone","4","2","EM",NA,"NA","NA","NA","NA","no","vertebra","6/26/2015","10:05:44 AM"
"88","D13",18,0,0.32,3.193,13.868,-3.692,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, gr, bl ph: 68 - 72 ID: 14, 15, 16, 17","6/26/2015","10:07:30 AM"
"89","D13",18,1,0.35,3.308,14.235,-3.667,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, gr, bl ph: 68 - 72 ID: 14, 15, 16, 17","6/26/2015","10:09:35 AM"
"90","D13",18,2,0.5,4.198,13.7,-3.576,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, gr, bl ph: 68 - 72 ID: 14, 15, 16, 17","6/26/2015","10:13:55 AM"
"91","D13",18,3,0.5,4.123,13.45,-3.685,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, gr, bl ph: 68 - 72 ID: 14, 15, 16, 17","6/26/2015","10:15:00 AM"
"92","D13",19,0,0.27,3.629,13.728,-3.615,"Collected finds","4","2","EM",NA,"NA","NA","NA","NA","yes","End Spit 2","6/29/2015","10:25:19 AM"
"93","D13",20,0,0.2700000107,3.647,13.734,-3.616,"Surface","4","3","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 3","6/29/2015","10:26:08 AM"
"94","D14",1,0,0.01,3.49,14.522,-3.299,"Surface",NA,"NA",NA,NA,"NA","NA","NA","NA",NA,"starting elevation, cleaning","6/15/2015","3:23:46 PM"
"95","D14",2,0,0.0099999998,3.466,14.485,-3.308,"Surface","3","1","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/25/2015","9:24:36 AM"
"96","D14",3,0,0.0299999993,3.501,14.325,-3.33,"Surface","4","1","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/25/2015","9:59:18 AM"
"97","D14",4,0,0.18,3.133,14.11,-3.573,"Tooth","4","1","EM",NA,"NA","NA","NA","NA","yes","molar","6/25/2015","10:42:36 AM"
"98","D14",5,0,0.14,3.663,14.002,-3.424,"Bone","4","1","EM","2 SW","240","NA","NA","NA","yes","long bone fragment","6/25/2015","11:23:24 AM"
"99","D14",6,0,0.1400000006,3.356,14.134,-3.455,"Bone","4","1","EM",NA,"NA","80","NA","NA","no","not collected, fragment","6/25/2015","11:24:32 AM"
"100","D14",7,0,0.23,3.683,14.032,-3.537,"Tooth","4","1","EM",NA,"NA","NA","NA","NA","yes","molar, carnivore","6/25/2015","12:13:24 PM"
"101","D14",8,0,0.14,3.719,14.229,-3.411,"Bone","4","1","EM","16 S","180","NA","NA","NA","yes","long bone fragment","6/25/2015","12:58:24 PM"
"102","D14",9,0,0.3,3.588,14.054,-3.609,"Tooth","4","1","EM",NA,"NA","NA","NA","NA","yes","upper molar, equus","6/25/2015","2:24:22 PM"
"103","D14",10,0,0.04,3.893,14.222,-3.296,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:37:54 PM"
"104","D14",10,1,0.03,4.017,15.398,-3.35,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:38:57 PM"
"105","D14",10,2,0.0299999993,4.066,15.988,-3.372,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:41:14 PM"
"106","D14",10,3,0.0299999993,4.014,17.133,-3.423,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:42:28 PM"
"107","D14",10,4,0.14,5.947,18.949,-3.544,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:43:02 PM"
"108","D14",10,5,0.01,5.83,18.05,-3.506,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:43:36 PM"
"109","D14",10,6,0,5.625,17.995,-3.491,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:44:10 PM"
"110","D14",10,7,0,5.241,18.039,-3.512,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:46:11 PM"
"111","D14",10,8,0,5.009,18.17,-3.549,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:47:03 PM"
"112","D14",10,9,0,5.007,18.794,-3.508,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:47:21 PM"
"113","D14",10,10,0.18,5.992,19.281,-3.494,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:47:56 PM"
"114","D14",10,11,0.02,4.014,18.312,-3.427,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:48:40 PM"
"115","D14",10,12,0.05,4.005,17.569,-3.463,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:49:11 PM"
"116","D14",10,13,0.02,4.053,19.08,-3.448,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:49:45 PM"
"117","D14",10,14,0.01,3.902,14.848,-3.331,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:53:01 PM"
"118","D14",10,15,0.0099999998,3.083,15.007,-3.444,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:53:25 PM"
"119","D14",10,16,0.0099999998,3.248,15,-3.419,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:53:37 PM"
"120","D14",10,17,0.0099999998,4.402,20.74,-3.448,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:54:52 PM"
"121","D14",10,18,0,4.192,20.525,-3.481,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:55:11 PM"
"122","D14",10,19,0,4.408,21.922,-3.428,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:56:40 PM"
"123","D14",10,20,0,4.044,23.143,-3.591,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:57:29 PM"
"124","D14",10,21,0,4.039,23.883,-3.656,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:57:58 PM"
"125","D14",10,22,0.03,4.076,22.625,-3.598,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:58:33 PM"
"126","D14",10,23,0,4.053,22.175,-3.564,"Surface","3/4","NA",NA,NA,"NA","NA","NA","NA",NA,"contact Geo 3/4, randomly recorded in the excavation trench","6/26/2015","3:59:05 PM"
"127","D15",1,0,0.0099999998,3.447,15.488,-3.398,"Surface",NA,"NA",NA,NA,"NA","NA","NA","NA",NA,"starting elevation, cleaning","6/15/2015","3:25:51 PM"
"128","D15",2,0,0,3.525,15.531,-3.441,"Surface","4","1","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/16/2015","12:08:36 PM"
"129","D15",3,0,0.01,3.81,15.594,-3.449,"Bone","4","1","VT","20 W","280","100","NA","NA","no",NA,"6/16/2015","3:22:58 PM"
"130","D15",4,0,0.15,3.942,15.473,-3.528,"Bone","4","1","VT","80 E","90","85","NA","NA","no",NA,"6/17/2015","12:09:09 PM"
"131","D15",5,0,0.01,3.557,15.505,-3.512,"Surface","4","2","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/17/2015","1:04:01 PM"
"132","D15",6,0,0.07,3.517,15.107,-3.581,"Bone","4","2","VT","10 W","298","NA","NA","NA","lost",NA,"6/19/2015","10:11:19 AM"
"133","D15",7,0,0.05,3.545,15.122,-3.574,"Tooth","4","2","VT",NA,"NA","NA","NA","NA","yes","fragment","6/19/2015","10:12:51 AM"
"134","D15",8,0,0.05,3.152,15.78,-3.581,"Bone","4","2","VT","6 NE","34","NA","NA","NA","yes","long bone fragment, measured at imprint, lowest point","6/19/2015","11:22:40 AM"
"135","D15",9,0,0.05,3.668,15.864,-3.517,"Bone","4","2","VT","30 S","188","95","NA","NA","no","not collected","6/19/2015","11:45:40 AM"
"136","D15",10,0,0.02,3.501,15.456,-3.615,"Tooth","4","2","VT",NA,"NA","NA","NA","NA","yes",NA,"6/22/2015","10:16:11 AM"
"137","D15",11,0,0.12,3.845,15.329,-3.584,"Tooth","4","2","VT",NA,"NA","NA","NA","NA","yes",NA,"6/22/2015","11:42:20 AM"
"138","D15",12,0,0,3.489,15.491,-3.62,"Collected finds","4","2","VT",NA,"NA","NA","NA","NA","yes","End Spit 2","6/22/2015","12:32:34 PM"
"139","D15",13,0,0,3.488,15.49,-3.621,"Surface","4","3","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 3","6/22/2015","12:32:39 PM"
"140","D15",14,0,0.14,3.805,15.485,-3.643,"Bone","4","3","VT","30 SW","220","110","NA","NA","no","not collected, long bone fragment","6/23/2015","11:56:42 AM"
"141","D15",15,0,0.02,3.512,15.584,-3.642,"Tooth","4","3","VT",NA,"NA","NA","NA","NA","yes","fragment","6/23/2015","12:12:09 PM"
"142","D15",16,0,0.09,3.754,15.691,-3.661,"Bone","4","3","VT","30 SE","132","130","NA","NA","no","not collected, long bone fragment","6/23/2015","12:32:16 PM"
"143","D15",17,0,0.14,3.744,15.346,-3.679,"Bone","4","3","VT","0","124","190","NA","NA","yes","long bone fragment","6/23/2015","1:49:38 PM"
"144","D15",18,0,0.02,3.632,15.938,-3.671,"Bone","4","3","VT",NA,"NA","NA","NA","NA","yes","articulated carpale (two bones), proboscidae","6/24/2015","3:05:50 PM"
"145","D15",19,0,0.01,3.446,15.64,-3.618,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto gr, re, ye, bl ph: 313/5418 - 313/5424 ID: 18","6/24/2015","3:26:00 PM"
"146","D15",19,1,0.24,3.863,15.632,-3.694,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto gr, re, ye, bl ph: 313/5418 - 313/5424 ID: 18","6/24/2015","3:29:24 PM"
"147","D15",19,2,0.25,3.891,16.24,-3.73,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto gr, re, ye, bl ph: 313/5418 - 313/5424 ID: 18","6/24/2015","3:30:00 PM"
"148","D15",19,3,0.01,3.366,16.202,-3.662,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto gr, re, ye, bl ph: 313/5418 - 313/5424 ID: 18","6/24/2015","3:30:36 PM"
"149","D15",20,0,0.03,3.575,15.344,-3.739,"Bone","4","3","VT",NA,"NA","65","NA","NA","no","not collected, fragment","6/25/2015","9:55:10 AM"
"150","D15",21,0,0.01,3.495,15.435,-3.74,"Collected finds","4","3","VT",NA,"NA","NA","NA","NA","yes","End Spit 3","6/29/2015","1:14:24 PM"
"151","D16",1,0,0.0099999998,3.456,16.472,-3.405,"Surface",NA,"NA",NA,NA,"NA","NA","NA","NA",NA,"starting elevation, cleaning","6/15/2015","3:26:34 PM"
"152","D16",2,0,0,3.561,16.473,-3.424,"Surface","4","1","MI",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/16/2015","12:09:34 PM"
"153","D16",3,0,0.03,3.603,16.746,-3.48,"Tooth","4","1","MI",NA,"NA","NA","NA","NA","yes","equus","6/16/2015","2:58:21 PM"
"154","D16",4,0,0.04,3.283,16.719,-3.511,"Tooth","4","1","MI",NA,"NA","NA","NA","NA","yes",NA,"6/17/2015","12:07:09 PM"
