"","unit","id","suffix","prism","x","y","z.x","type.x","geo.x","spit","exc","plunge","bearing","length.x","max_width","thickness","collected.x","comment","date.x","time","year","date.y","z.y","type.y","geo.y","collected.y","integrity","articulation","nsp.bone","nsp.tooth","nsp.total","skeletal.element","skeletal.part","bone.portion","voorhies.group","BM.category","bone.shape..cube.tube.flat.","bone.structure..dense.trabecular.","description","class","order","family","genus","species","taxon","stratified.surface","length.y","carnivore_gnawing","refit","remarks","reference_id.if_from_plaster_jacket.","totalstation_comment"
"18","C16","11","0",0,2.656,16.938,-3.784,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","first phalang bovidae",2016-05-30,"2:59:46 PM","2016","5/30/2016",-3.784,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"first phalang bovidae"
"19","C16","12","0",0,2.631,16.998,-3.855,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","third phalang bovidae",2016-05-30,"3:13:00 PM","2016","5/30/2016",-3.855,"Bone","4","yes","complete","isolated","2",NA,"2","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalang bovidae"
"20","C16","13","0",0,2.609,16.948,-3.85,"Bone","4",NA,"Prof.GK",NA,NA,NA,30,NA,"yes","third phalang",2016-05-31,"10:17:37 AM","2016","5/31/2016",-3.85,"Bone","4","yes","fragment","isolated","1",NA,"1","phalanx","appendicular","fragment",NA,NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalang"
"21","C16","14","0",0,2.625,16.931,-3.869,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","carpal",2016-05-31,"10:20:44 AM","2016","5/31/2016",-3.869,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"carpal","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal"
"22","C16","15","0",0,2.635,16.926,-3.82,"Bone","4",NA,"Prof.GK",8,145,90,8,NA,"yes","bird bone",2016-05-31,"10:55:34 AM","2016","5/31/2016",-3.82,"Bone","4","yes","complete","isolated","1",NA,"1","ulna",NA,NA,NA,NA,NA,NA,"ulna","Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone"
"23","C16","16","0",0,2.681,16.991,-3.835,"Bone","4",NA,"Prof.GK",15,285,220,20,NA,"yes","metatarsal bovidae",2016-05-31,"11:10:19 AM","2016","5/31/2016",-3.835,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metatarsal","Mammalia","Artiodactyla","Bovidae",NA,"?ambiguus","Bovidae ?ambiguus","stratified",NA,NA,NA,NA,NA,"metatarsal bovidae"
"24","C16","17","0",0,2.523,16.706,-3.795,"Bone","4",NA,"Prof.GK",20,180,330,140,NA,"no","not collected",2016-05-31,"11:41:58 AM","2016","5/31/2016",-3.795,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",330,NA,NA,NA,NA,"not collected"
"25","C16","18","0",0,2.694,16.67,-3.757,"Bone","4",NA,"Prof.GK",10,145,160,30,NA,"no","not collected",2016-05-31,"11:44:20 AM","2016","5/31/2016",-3.757,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected"
"26","C16","19","0",0.01,2.844,16.365,-3.528,"Bone","4",NA,"DK",10,100,160,70,NA,"no","not collected, scapula frag",2016-05-31,"1:21:02 PM","2016","5/31/2016",-3.528,"Bone","4","no","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected, scapula frag"
"27","C16","20","0",0,2.535,16.908,-3.908,"Bone","4",NA,"Prof.GK",0,146,170,100,NA,"no","not collected, scapula frag.",2016-05-31,"2:59:45 PM","2016","5/31/2016",-3.908,"Bone","4","no","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",170,NA,NA,NA,NA,"not collected, scapula frag."
"28","C16","21","0",0,2.62,16.908,-3.89,"Bone","4",NA,"Prof.GK",8,180,NA,NA,NA,"yes","calcaneus artiodactile",2016-05-31,"3:04:15 PM","2016","5/31/2016",-3.89,"Bone","4","yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"calcaneus sin","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"calcaneus artiodactile"
"29","C16","22","0",0.1,2.895,16.736,-3.786,"Bone","4",NA,"Prof.GK",0,26,NA,NA,NA,"yes","tibia, equus",2016-06-01,"11:54:43 AM","2016","6/1/2016",-3.786,"Bone","4","yes","complete","isolated","1",NA,"1","tibia","appendicular",NA,"II","BM4",NA,NA,"tibia dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"tibia, equus"
"30","C16","23","0",0.1000000015,2.9,16.625,-3.804,"Bone/Tooth","4",NA,"Prof.GK",0,36,NA,NA,NA,"yes","mandible, equus",2016-06-01,"11:57:28 AM","2016","6/1/2016",-3.804,"Bone/Tooth","4","yes","fragment","articulated","1","3","4","mandible","cranial","fragment","II/III","BM4",NA,NA,"mandible frag. dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"mandible, equus"
"31","C16","24","0",0,2.372,16.987,-4.261,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","carpal/tarsal",2016-06-02,"9:52:52 AM","2016","6/2/2016",-4.261,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal/tarsal"
"35","C17","4","0",0.02,2.896,17.349,-3.633,"Bone","4","2","GK",6,264,100,NA,NA,"no","not collected",2015-06-19,"11:20:07 AM","2015","6/19/2015",-3.633,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected"
"36","C17","7","0",0,2.777,17.904,-3.771,"Bone","4","3","GK",10,210,230,NA,NA,"yes","radius",2015-06-19,"1:11:56 PM","2015","6/19/2015",-3.771,"Bone","4","yes","fragment","isolated","1",NA,"1","radius","appendicular","proximal",NA,NA,NA,NA,"radius sin, proximal frag.","Mammalia","Perissodactyla","Rhinocerotidae","Stephanorhinus","sp.","Stephanorhinus sp.","stratified",NA,NA,NA,NA,NA,"radius"
"37","C17","9","0",0.15,2.791,17.163,-3.908,"Bone","4","4","GK",NA,NA,NA,NA,NA,"yes",NA,2015-06-22,"11:57:50 AM","2015","6/22/2015",-3.908,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"38","C17","11","0",0.04,2.648,17.265,-3.935,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes",NA,2015-06-22,"12:18:25 PM","2015","6/22/2015",-3.935,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA
"39","C17","12","0",0.07,2.698,17.305,-3.943,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","second phalanx",2015-06-22,"12:39:43 PM","2015","6/22/2015",-3.943,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"second phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"second phalanx"
"40","C17","13","0",0.0099999998,2.613,17.25,-3.932,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","third phalanx, equus",2015-06-22,"12:54:46 PM","2015","6/22/2015",-3.932,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"third phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"third phalanx, equus"
"41","C17","14","0",0.0099999998,2.527,17.339,-3.959,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","second phalanx",2015-06-22,"12:55:30 PM","2015","6/22/2015",-3.959,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,NA,NA,NA,NA,"second phalanx (juvenile)","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"second phalanx"
"42","C17","15","0",0.01,2.553,17.3,-3.961,"Bone","4","5","GK",10,216,NA,NA,NA,"yes","bird bone",2015-06-22,"1:32:32 PM","2015","6/22/2015",-3.961,"Bone","4","yes","complete","isolated","1",NA,"1","tibiotarsus",NA,NA,NA,NA,NA,NA,"tibiotarsus","Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone"
"43","C17","16","0",0.01,2.635,17.159,-3.905,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"1:51:03 PM","2015","6/22/2015",-3.905,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal or tarsal"
"44","C17","17","0",0.16,2.827,17.445,-3.99,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","third phalanx, carnivore",2015-06-22,"2:32:21 PM","2015","6/22/2015",-3.99,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"third phalanx, carnivore"
"45","C17","18","0",0.15,2.803,17.433,-3.982,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"2:33:25 PM","2015","6/22/2015",-3.982,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal or tarsal"
"46","C17","19","0",0.12,2.826,17.404,-3.951,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal or tarsal",2015-06-22,"2:34:31 PM","2015","6/22/2015",-3.951,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"intermedium (lunatum)","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal or tarsal"
"47","C17","20","0",0,2.606,17.165,-3.939,"Bone","4","5","GK",28,258,NA,NA,NA,"yes","scapula fragment with gnawing marks",2015-06-23,"10:19:53 AM","2015","6/23/2015",-3.939,"Bone","4","yes","fragment","isolated","1",NA,"1","scapula","appendicular","fragment",NA,NA,NA,NA,"scapula frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,"yes",NA,NA,NA,"scapula fragment with gnawing marks"
"48","C17","21","0",0.09,2.495,17.648,-4.082,"Bone","4","5","GK",8,243,NA,NA,NA,"yes","rib",2015-06-23,"11:09:47 AM","2015","6/23/2015",-4.082,"Bone","4","yes","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"rib"
"49","C17","22","0",0.14,2.55,17.795,-4.094,"Bone","4","5","GK",8,252,NA,NA,NA,"yes","metapodium, carnivore",2015-06-23,"11:10:49 AM","2015","6/23/2015",-4.094,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metapode","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"metapodium, carnivore"
"50","C17","23","0",0.1400000006,2.61,17.876,-4.069,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal",2015-06-23,"11:11:46 AM","2015","6/23/2015",-4.069,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II","BM4",NA,NA,"sesamoid","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal"
"51","C17","24","0",0.12,2.417,17.727,-4.121,"Bone","4","5","GK",NA,NA,NA,NA,NA,"yes","carpal",2015-06-23,"11:42:15 AM","2015","6/23/2015",-4.121,"Bone","4","yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"cuboscaphoid dex","Mammalia","Artiodactyla","Cervidae",NA,NA,"Cervidae","stratified",NA,NA,NA,NA,NA,"carpal"
"52","C17","25","0",0.03,2.718,17.497,-4.074,"Bone","4","5","GK",40,284,NA,NA,NA,"yes","first phalanx, equus",2015-06-23,"12:00:33 PM","2015","6/23/2015",-4.074,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"first phalanx","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"first phalanx, equus"
"54","C17","28","0",0.01,2.907,17.862,-4.051,"Bone","4","6","DK",NA,NA,NA,NA,NA,"yes","carpal, cervid",2015-06-24,"12:27:47 PM","2015","6/24/2015",-4.051,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal, cervid"
"56","C17","30","0",0.06,2.745,17.87,-4.149,"Bone","4","6","AG",NA,NA,NA,NA,NA,"yes","carpal, equus",2015-06-26,"3:03:16 PM","2015","6/26/2015",-4.149,"Bone","4","yes","complete","isolated","1",NA,"1","carpal/tarsal","appendicular",NA,"I/II",NA,NA,NA,"carpal/tarsal","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"carpal, equus"
"57","C17","31","0",0.12,2.786,17.856,-4.169,"Bone","4","6","AG",NA,NA,NA,NA,NA,"yes","vertebra",2015-06-26,"3:21:32 PM","2015","6/26/2015",-4.169,"Bone","4","yes","complete","isolated","1",NA,"1","vertebra","axial",NA,"I",NA,NA,NA,"caudal vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"vertebra"
"58","C17","32","0",0.01,2.994,17.93,-4.109,"Bone","4","6","GK",NA,NA,NA,NA,NA,"yes","rib",2015-06-29,"10:12:23 AM","2015","6/29/2015",-4.109,"Bone","4","yes","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"rib"
"59","C17","33","0",0.1,2.743,17.845,-4.172,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","ankle equus",2016-05-30,"11:48:04 AM","2016","5/30/2016",-4.172,"Bone","4","yes","complete","isolated","1",NA,"1","sesamoid","appendicular",NA,"I/II",NA,NA,NA,"sesamoid","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"ankle equus"
"60","C17","34","0",0,2.859,17.607,-4.142,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","bird bone",2016-05-30,"12:41:32 PM","2016","5/30/2016",-4.142,"Bone","4","yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,"Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone"
"61","C17","35","0",0.02,2.929,17.597,-4.102,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","distal metapodial frag",2016-05-30,"12:45:37 PM","2016","5/30/2016",-4.102,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metopode, distal frag. (juvenile)","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"distal metapodial frag"
"62","C17","36","0",0,2.88,17.671,-4.161,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","third falang equus",2016-05-30,"12:46:51 PM","2016","5/30/2016",-4.161,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"third phalanx","Mammalia","Perissodactyla","Equidae","Equus",NA,"Equus","stratified",NA,NA,NA,NA,NA,"third falang equus"
"63","C17","37","0",0.1,2.853,17.794,-4.215,"Bone","4",NA,"GK",NA,NA,NA,NA,NA,"yes","carpal bone",2016-05-30,"3:03:01 PM","2016","5/30/2016",-4.215,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"carpal","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal bone"
"64","C17","38","0",0.05,2.617,17.036,-3.872,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","second phalng bovidae",2016-05-30,"3:17:16 PM","2016","5/30/2016",-3.872,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,NA,NA,NA,NA,"second phalanx (juvenile)","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",NA,NA,NA,NA,NA,"second phalng bovidae"
"65","C17","39","0",0,2.641,17.088,-3.886,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","first phalang bovidae",2016-05-30,"3:27:52 PM","2016","5/30/2016",-3.886,"Bone","4","yes","complete","?associated","2",NA,"2","tarsal, phalanx",NA,NA,NA,NA,NA,NA,"a. cuboscaphoid, b. first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"first phalang bovidae"
"66","C17","40","0",0.02,2.625,17.073,-3.877,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","bird bone",2016-05-30,"3:30:15 PM","2016","5/30/2016",-3.877,"Bone","4","yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,"Aves",NA,NA,NA,NA,"Aves","stratified",NA,NA,NA,NA,NA,"bird bone"
"67","C17","41","0",0.05,2.734,17.055,-3.823,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","third phalanx, bovidae",2016-05-31,"10:32:53 AM","2016","5/31/2016",-3.823,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalanx, bovidae"
